apple	82	26	0.36	52	68	82
apple	9	21	0.37	58	43	9
apple	55	72	0.29	50	28	55
apple	28	1	0.38	45	11	28
apple	10	80	0.34	48	73	10
apple	4	77	0.21	56	50	4
apple	71	39	0.28	53	77	71
apple	47	69	0.39	51	69	47
apple	87	11	0.22	59	94	87
apple	54	15	0.33	47	79	54
mango	23	48	0.25	46	40	23
mango	63	74	0.31	43	82	63
mango	91	16	0.2	54	3	91
mango	3	59	0.35	57	24	3
mango	57	93	0.32	42	14	57
mango	68	94	0.24	40	99	68
banana	42	12	0.23	5	63	42
banana	2	45	0.3	5	23	2
banana	89	56	0.27	10	92	89
banana	52	24	0.26	5	86	52
